Age,BusinessTravel,Department,DistanceFromHome,Education,Gender,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,PercentSalaryHike,PerformanceRating,StockOptionLevel,TotalWorkingYears,YearsAtCompany,YearsSinceLastPromotion,Attrition
46,Travel_Rarely,Sales,2,4,Female,5,Manager,1,Single,18947,No,12,3,0,22,2,2,No
33,Travel_Rarely,Research & Development,2,3,Male,1,Laboratory Technician,4,Single,2496,No,11,3,0,7,1,0,No
44,Travel_Rarely,Research & Development,10,4,Male,2,Healthcare Representative,4,Married,6465,Yes,13,3,0,9,4,1,No
30,Travel_Rarely,Research & Development,9,2,Male,1,Laboratory Technician,3,Single,2206,No,13,3,0,10,10,1,No
39,Travel_Rarely,Sales,5,3,Male,2,Sales Representative,4,Married,2086,No,14,3,1,19,1,0,Yes
24,Travel_Rarely,Research & Development,1,3,Male,1,Research Scientist,4,Married,2293,Yes,16,3,1,6,2,2,Yes
43,Travel_Rarely,Research & Development,2,2,Female,1,Research Scientist,3,Divorced,2645,No,12,3,2,6,5,1,No
50,Travel_Rarely,Sales,3,2,Male,1,Sales Representative,3,Married,2683,Yes,14,3,0,3,3,0,Yes
35,Travel_Rarely,Sales,2,3,Female,1,Sales Representative,4,Married,2014,No,13,3,0,2,2,2,No
36,Travel_Rarely,Research & Development,5,4,Female,1,Research Scientist,1,Married,3419,Yes,14,3,1,6,1,0,No
33,Travel_Frequently,Sales,1,3,Female,2,Sales Executive,1,Married,5376,No,19,3,2,10,5,1,No
35,Travel_Rarely,Research & Development,4,2,Male,1,Laboratory Technician,4,Divorced,1951,No,12,3,1,1,1,0,No
27,Travel_Rarely,Research & Development,2,4,Female,1,Laboratory Technician,1,Divorced,2341,No,13,3,1,1,1,0,No
26,Travel_Rarely,Research & Development,25,3,Male,1,Laboratory Technician,3,Single,2293,No,12,3,0,1,1,0,Yes
27,Travel_Frequently,Sales,8,3,Male,3,Sales Executive,3,Single,8726,No,15,3,0,9,9,1,No
30,Travel_Frequently,Research & Development,1,2,Female,2,Laboratory Technician,4,Single,4011,No,23,4,0,12,12,3,No
41,Travel_Rarely,Research & Development,12,3,Female,5,Research Director,3,Married,19545,No,12,3,0,23,22,15,Yes
34,Non-Travel,Sales,23,4,Male,2,Sales Executive,3,Single,4568,No,20,4,0,10,9,8,No
37,Travel_Rarely,Research & Development,19,2,Male,1,Research Scientist,2,Married,3022,No,21,4,0,8,1,0,No
46,Travel_Frequently,Sales,5,4,Male,2,Sales Executive,4,Single,5772,Yes,21,4,0,14,9,0,No
35,Travel_Rarely,Research & Development,8,1,Male,1,Laboratory Technician,4,Married,2269,No,19,3,0,1,1,0,No
48,Travel_Rarely,Research & Development,1,2,Male,3,Laboratory Technician,3,Single,5381,Yes,13,3,0,23,1,0,Yes
28,Travel_Rarely,Research & Development,5,4,Male,1,Laboratory Technician,3,Single,3441,Yes,13,3,0,2,2,2,Yes
44,Travel_Rarely,Sales,1,5,Female,2,Sales Executive,1,Divorced,5454,Yes,21,4,1,9,4,1,No
35,Non-Travel,Research & Development,11,2,Male,3,Healthcare Representative,1,Married,9884,Yes,13,3,1,10,4,2,No
26,Travel_Rarely,Sales,23,3,Female,2,Sales Executive,4,Married,4157,Yes,19,3,1,5,2,0,No
33,Travel_Frequently,Research & Development,1,2,Female,3,Research Director,4,Single,13458,Yes,12,3,0,15,15,8,No
35,Travel_Frequently,Sales,18,5,Male,3,Sales Executive,1,Married,9069,No,22,4,1,9,9,1,No
35,Travel_Rarely,Research & Development,23,4,Female,1,Laboratory Technician,1,Married,4014,Yes,15,3,1,4,2,2,No
31,Travel_Rarely,Research & Development,7,4,Male,2,Laboratory Technician,4,Divorced,5915,No,22,4,1,10,7,1,No
37,Travel_Rarely,Research & Development,1,4,Male,2,Manufacturing Director,3,Divorced,5993,No,18,3,1,7,7,0,No
32,Travel_Rarely,Research & Development,1,3,Male,2,Manufacturing Director,4,Married,6162,Yes,22,4,1,9,9,7,No
38,Travel_Frequently,Research & Development,29,5,Female,2,Laboratory Technician,4,Single,2406,No,11,3,0,10,10,9,No
50,Travel_Rarely,Research & Development,7,2,Female,5,Research Director,3,Divorced,18740,Yes,12,3,1,29,27,13,No
59,Travel_Rarely,Sales,25,3,Female,3,Sales Executive,1,Single,7637,No,11,3,0,28,21,7,No
36,Travel_Rarely,Research & Development,8,3,Female,3,Healthcare Representative,3,Divorced,10096,No,13,3,3,17,17,12,No
55,Travel_Rarely,Research & Development,8,3,Female,4,Manager,3,Divorced,14756,Yes,14,3,3,21,5,0,No
36,Travel_Frequently,Research & Development,11,3,Male,2,Manufacturing Director,2,Single,6499,No,13,3,0,6,6,0,No
45,Travel_Rarely,Research & Development,7,3,Male,3,Research Scientist,1,Divorced,9724,No,17,3,1,25,1,0,No
35,Travel_Frequently,Research & Development,1,3,Male,1,Research Scientist,1,Married,2194,No,13,3,1,5,3,1,No
36,Travel_Rarely,Research & Development,9,3,Male,1,Research Scientist,3,Married,3388,Yes,17,3,1,2,1,0,Yes
59,Travel_Frequently,Sales,1,1,Female,2,Sales Executive,3,Single,5473,No,11,3,0,20,4,1,No
29,Travel_Rarely,Research & Development,2,3,Male,1,Research Scientist,2,Married,2703,No,23,4,1,6,5,0,No
31,Travel_Rarely,Research & Development,1,4,Male,1,Research Scientist,2,Single,2501,No,17,3,0,1,1,1,No
32,Travel_Rarely,Research & Development,1,3,Male,2,Research Scientist,2,Married,6220,No,17,3,2,10,10,0,No
36,Travel_Rarely,Research & Development,6,3,Female,1,Laboratory Technician,4,Married,3038,No,12,3,0,5,1,0,No
31,Travel_Rarely,Research & Development,8,4,Female,2,Manufacturing Director,4,Single,4424,No,23,4,0,11,11,1,No
35,Travel_Rarely,Sales,1,4,Male,2,Sales Executive,1,Single,4312,No,14,3,0,16,15,2,No
45,Travel_Rarely,Research & Development,6,4,Male,3,Research Director,1,Married,13245,Yes,14,3,0,17,0,0,No
37,Travel_Rarely,Research & Development,7,4,Male,3,Research Director,3,Single,13664,No,13,3,0,16,5,0,No
46,Travel_Rarely,Human Resources,5,2,Male,2,Human Resources,2,Divorced,5021,Yes,22,4,1,16,4,0,No
30,Travel_Rarely,Research & Development,1,1,Male,2,Laboratory Technician,4,Married,5126,Yes,12,3,2,10,10,3,No
35,Travel_Rarely,Research & Development,1,3,Male,1,Research Scientist,3,Single,2859,No,18,3,0,6,6,0,No
55,Travel_Rarely,Sales,1,2,Male,3,Sales Executive,4,Married,10239,No,14,3,1,24,1,1,No
38,Non-Travel,Research & Development,6,3,Female,2,Research Scientist,4,Divorced,5329,Yes,12,3,3,17,13,1,No
34,Travel_Rarely,Research & Development,1,2,Male,2,Manufacturing Director,2,Married,4325,No,15,3,0,5,5,1,No
56,Travel_Rarely,Research & Development,7,3,Male,3,Manufacturing Director,4,Single,7260,No,11,3,0,37,6,0,No
23,Travel_Rarely,Sales,2,1,Male,1,Sales Representative,1,Divorced,2322,No,13,3,1,3,0,0,No
51,Travel_Rarely,Research & Development,9,4,Male,1,Laboratory Technician,4,Married,2075,No,23,4,2,10,4,0,No
30,Travel_Rarely,Research & Development,2,3,Male,2,Healthcare Representative,4,Married,4152,No,19,3,3,11,11,10,No
46,Travel_Rarely,Sales,9,2,Male,3,Sales Executive,4,Single,9619,No,16,3,0,9,9,4,Yes
40,Travel_Frequently,Research & Development,1,4,Male,4,Healthcare Representative,2,Married,13503,No,22,4,1,22,22,11,No
51,Travel_Rarely,Sales,21,4,Male,2,Sales Executive,4,Single,5441,Yes,22,4,0,11,10,1,No
30,Travel_Rarely,Sales,4,2,Female,2,Sales Executive,2,Divorced,5209,Yes,12,3,3,11,11,2,No
46,Travel_Frequently,Research & Development,1,3,Male,3,Healthcare Representative,1,Married,10673,Yes,13,3,1,21,10,9,No
32,Travel_Rarely,Sales,6,4,Male,2,Sales Executive,3,Single,5010,No,16,3,0,12,11,5,No
54,Travel_Rarely,Research & Development,2,4,Female,3,Research Director,3,Married,13549,No,12,3,1,16,4,0,No
24,Travel_Rarely,Sales,3,2,Female,2,Sales Executive,3,Married,4999,No,21,4,1,4,3,0,No
28,Non-Travel,Sales,4,3,Male,2,Sales Executive,3,Married,4221,No,15,3,0,5,5,0,No
58,Travel_Rarely,Sales,10,4,Male,4,Sales Executive,3,Single,13872,No,13,3,0,38,37,1,No
44,Non-Travel,Research & Development,23,3,Male,2,Laboratory Technician,2,Married,2042,No,12,3,1,17,3,1,No
37,Travel_Rarely,Human Resources,6,4,Male,1,Human Resources,1,Divorced,2073,Yes,22,4,0,7,3,0,Yes
32,Travel_Rarely,Research & Development,1,1,Male,1,Research Scientist,1,Single,2956,No,13,3,0,1,1,0,No
20,Travel_Frequently,Research & Development,6,3,Female,1,Laboratory Technician,4,Single,2926,Yes,18,3,0,1,1,1,Yes
34,Travel_Rarely,Research & Development,6,4,Female,2,Research Scientist,3,Single,4809,No,14,3,0,16,16,2,No
37,Non-Travel,Research & Development,2,2,Male,2,Healthcare Representative,4,Divorced,5163,No,14,3,1,17,1,0,No
59,Non-Travel,Human Resources,2,4,Female,5,Manager,4,Married,18844,No,21,4,1,30,3,2,No
50,Travel_Frequently,Research & Development,1,3,Female,5,Research Director,2,Married,18172,Yes,19,3,0,28,8,0,No
25,Travel_Rarely,Sales,5,3,Male,2,Sales Executive,3,Single,5744,Yes,11,3,0,6,6,0,Yes
25,Travel_Rarely,Research & Development,7,1,Male,1,Research Scientist,4,Married,2889,No,11,3,2,2,2,2,No
22,Travel_Rarely,Research & Development,15,3,Female,1,Laboratory Technician,4,Single,2871,No,15,3,0,1,0,0,No
51,Travel_Frequently,Research & Development,1,4,Female,3,Healthcare Representative,1,Single,7484,No,20,4,0,23,13,12,No
34,Travel_Frequently,Research & Development,7,3,Male,2,Laboratory Technician,3,Single,6074,Yes,24,4,0,9,9,0,Yes
54,Non-Travel,Human Resources,26,3,Female,4,Manager,4,Single,17328,Yes,12,3,0,23,5,4,No
24,Travel_Rarely,Research & Development,18,1,Male,1,Laboratory Technician,3,Married,2774,No,12,3,1,6,5,1,No
34,Travel_Rarely,Research & Development,6,4,Female,2,Research Scientist,2,Divorced,4505,No,15,3,1,12,1,0,No
37,Travel_Rarely,Sales,3,3,Male,3,Sales Executive,4,Single,7428,No,12,3,0,12,5,1,No
34,Travel_Rarely,Research & Development,5,3,Female,3,Manager,1,Single,11631,No,12,3,0,14,11,5,No
36,Travel_Frequently,Sales,11,2,Female,3,Sales Executive,4,Married,9738,No,14,3,1,10,9,2,No
36,Travel_Rarely,Research & Development,3,2,Female,1,Laboratory Technician,4,Divorced,2835,No,22,4,1,7,1,0,No
43,Travel_Frequently,Sales,26,2,Male,4,Manager,4,Married,16959,Yes,12,3,2,25,25,4,No
30,Travel_Frequently,Research & Development,23,3,Male,1,Research Scientist,3,Divorced,2613,No,25,4,3,10,10,0,No
33,Non-Travel,Sales,22,2,Male,2,Sales Executive,2,Married,6146,No,13,3,1,8,7,0,No
56,Travel_Rarely,Research & Development,14,4,Female,1,Research Scientist,2,Married,4963,Yes,18,3,3,7,5,4,Yes
51,Travel_Rarely,Research & Development,6,3,Male,5,Research Director,3,Single,19537,No,13,3,0,23,20,15,No
31,Travel_Rarely,Sales,6,4,Male,2,Sales Executive,3,Married,6172,Yes,18,3,0,12,7,7,Yes
26,Travel_Rarely,Research & Development,6,3,Female,1,Research Scientist,2,Married,2368,No,19,3,0,5,5,4,No
58,Travel_Rarely,Research & Development,23,4,Female,3,Healthcare Representative,4,Married,10312,No,12,3,1,40,40,15,Yes
19,Travel_Rarely,Sales,22,1,Male,1,Sales Representative,3,Single,1675,Yes,19,3,0,0,0,0,Yes
22,Travel_Rarely,Research & Development,2,1,Male,1,Laboratory Technician,4,Married,2523,No,14,3,1,3,2,2,No
49,Travel_Rarely,Research & Development,20,4,Female,2,Manufacturing Director,1,Married,6567,No,14,3,0,16,15,5,No
43,Travel_Frequently,Research & Development,28,3,Female,1,Research Scientist,3,Single,4739,No,12,3,0,18,3,1,No
50,Travel_Frequently,Sales,12,3,Female,3,Sales Executive,4,Single,9208,No,11,3,0,16,2,2,No
31,Travel_Rarely,Sales,20,3,Female,2,Sales Executive,3,Married,4559,Yes,11,3,1,4,2,2,Yes
41,Travel_Rarely,Sales,9,1,Male,3,Sales Executive,3,Divorced,8189,Yes,13,3,1,12,9,0,No
26,Travel_Rarely,Human Resources,25,1,Female,1,Human Resources,3,Married,2942,No,23,4,1,8,8,5,No
36,Travel_Rarely,Research & Development,6,2,Male,2,Manufacturing Director,2,Divorced,4941,No,20,4,2,7,3,0,No
51,Travel_Frequently,Research & Development,8,4,Male,3,Manufacturing Director,4,Single,10650,No,15,3,0,18,4,0,Yes
39,Travel_Rarely,Sales,4,4,Female,2,Sales Executive,3,Married,5902,No,14,3,1,17,15,5,No
25,Travel_Rarely,Sales,28,3,Male,2,Sales Executive,3,Married,8639,No,18,3,0,6,2,2,No
30,Travel_Rarely,Human Resources,9,3,Male,2,Human Resources,4,Married,6347,Yes,19,3,0,12,11,4,No
32,Travel_Rarely,Research & Development,9,3,Female,1,Laboratory Technician,1,Single,4200,No,22,4,0,10,5,0,Yes
45,Travel_Rarely,Research & Development,29,3,Male,1,Research Scientist,4,Single,3452,No,13,3,0,9,6,0,No
38,Travel_Rarely,Research & Development,3,5,Female,2,Research Scientist,3,Single,4317,Yes,20,4,0,19,3,2,No
30,Travel_Rarely,Research & Development,18,3,Female,1,Research Scientist,3,Single,2632,No,14,3,0,5,5,0,No
32,Travel_Frequently,Sales,9,2,Male,2,Sales Executive,4,Divorced,4668,No,17,3,3,9,8,0,No
30,Travel_Rarely,Research & Development,5,3,Female,1,Research Scientist,1,Divorced,3204,No,14,3,1,8,3,2,No
30,Travel_Rarely,Research & Development,2,1,Male,1,Laboratory Technician,4,Single,2720,No,13,3,0,6,5,1,No
41,Travel_Frequently,Research & Development,10,3,Male,4,Manager,1,Divorced,17181,No,13,3,1,21,7,7,No
41,Travel_Rarely,Research & Development,9,4,Male,1,Laboratory Technician,1,Married,2238,No,21,4,1,7,5,1,No
19,Travel_Rarely,Research & Development,3,1,Female,1,Laboratory Technician,2,Single,1483,No,14,3,0,1,1,0,No
40,Travel_Frequently,Research & Development,26,3,Female,2,Research Scientist,2,Divorced,5605,No,11,3,1,20,20,2,No
35,Travel_Rarely,Sales,1,5,Male,3,Sales Executive,2,Married,7295,No,13,3,2,10,10,0,No
53,Travel_Rarely,Sales,6,2,Male,2,Sales Representative,3,Married,2306,Yes,20,4,1,13,7,4,No
45,Travel_Rarely,Research & Development,9,3,Male,2,Laboratory Technician,2,Divorced,2348,No,18,3,1,20,17,0,No
32,Travel_Frequently,Sales,8,3,Female,3,Sales Executive,4,Single,8998,No,14,3,0,9,9,3,No
29,Non-Travel,Research & Development,1,1,Male,2,Manufacturing Director,3,Married,4319,No,13,3,1,10,10,0,No
51,Travel_Rarely,Research & Development,7,4,Male,2,Manufacturing Director,3,Married,6132,No,17,3,0,10,1,0,No
58,Travel_Rarely,Research & Development,9,3,Female,1,Research Scientist,2,Married,3346,Yes,20,4,1,9,1,0,No
40,Travel_Rarely,Sales,4,4,Male,3,Sales Executive,4,Married,10855,No,11,3,1,15,12,2,No
34,Travel_Frequently,Sales,2,4,Female,1,Sales Representative,3,Married,2231,No,18,3,1,6,4,1,No
22,Travel_Rarely,Research & Development,19,1,Male,1,Research Scientist,4,Married,2323,No,24,4,2,2,2,2,No
27,Non-Travel,Research & Development,9,3,Male,1,Research Scientist,2,Divorced,2024,No,18,3,1,6,2,2,No
28,Travel_Rarely,Research & Development,21,3,Male,1,Research Scientist,4,Married,2713,No,11,3,1,5,5,0,No
57,Travel_Rarely,Research & Development,24,2,Male,3,Healthcare Representative,4,Divorced,9439,Yes,16,3,1,12,5,1,No
27,Non-Travel,Research & Development,3,3,Male,1,Research Scientist,3,Divorced,2566,Yes,15,3,1,1,1,0,No
50,Travel_Rarely,Research & Development,11,3,Female,5,Manager,2,Single,19926,No,15,3,0,21,5,4,No
41,Travel_Rarely,Research & Development,14,3,Male,1,Research Scientist,3,Divorced,2451,No,12,3,1,13,9,1,No
30,Travel_Rarely,Sales,5,3,Female,3,Sales Executive,4,Married,9419,No,12,3,1,12,10,7,No
38,Travel_Rarely,Sales,1,4,Female,2,Sales Executive,4,Single,8686,No,22,4,0,12,8,0,No
32,Travel_Rarely,Research & Development,6,5,Male,1,Research Scientist,3,Single,3038,No,20,4,0,8,5,1,No
27,Travel_Rarely,Research & Development,17,3,Male,1,Research Scientist,2,Married,3058,Yes,16,3,1,6,5,1,No
19,Travel_Frequently,Sales,1,1,Female,1,Sales Representative,1,Single,2325,No,21,4,0,1,0,0,Yes
36,Travel_Frequently,Research & Development,3,2,Male,1,Laboratory Technician,2,Single,2088,No,12,3,0,13,8,7,No
30,Non-Travel,Research & Development,9,3,Male,2,Laboratory Technician,1,Divorced,3072,No,11,3,2,12,12,6,No
45,Travel_Rarely,Sales,4,2,Female,2,Sales Executive,1,Divorced,5006,Yes,11,3,1,9,5,0,No
56,Travel_Rarely,Research & Development,8,3,Female,1,Research Scientist,1,Divorced,4257,Yes,18,3,1,19,2,2,No
33,Travel_Rarely,Research & Development,2,3,Male,1,Research Scientist,4,Single,2500,No,14,3,0,4,3,0,No
19,Travel_Rarely,Research & Development,2,3,Male,1,Laboratory Technician,4,Single,1102,No,22,4,0,1,1,1,Yes
46,Travel_Rarely,Sales,1,2,Female,3,Sales Executive,1,Divorced,10453,No,25,4,3,24,24,15,No
38,Travel_Rarely,Research & Development,9,2,Female,1,Laboratory Technician,4,Single,2288,No,12,3,0,2,2,2,No
31,Travel_Rarely,Research & Development,12,1,Female,1,Research Scientist,4,Married,3929,Yes,23,4,1,7,4,0,No
34,Travel_Rarely,Research & Development,27,2,Female,1,Research Scientist,2,Single,2311,No,15,3,0,9,3,1,No
41,Travel_Rarely,Sales,20,2,Female,1,Sales Representative,2,Single,3140,Yes,22,4,0,4,4,0,Yes
50,Travel_Rarely,Research & Development,1,3,Male,1,Laboratory Technician,3,Married,3690,No,15,3,1,5,3,0,No
53,Travel_Rarely,Research & Development,13,2,Female,2,Manufacturing Director,1,Divorced,4450,No,11,3,2,5,4,1,No
33,Travel_Rarely,Research & Development,14,3,Female,1,Research Scientist,2,Married,2756,No,13,3,1,8,8,1,No
40,Travel_Rarely,Research & Development,4,1,Female,5,Manager,3,Married,19033,No,14,3,1,21,20,9,No
55,Travel_Rarely,Research & Development,14,4,Male,5,Research Director,2,Single,18722,No,11,3,0,36,24,2,No
34,Travel_Frequently,Research & Development,2,1,Male,2,Manufacturing Director,3,Married,9547,No,17,3,0,10,10,1,No
51,Travel_Rarely,Research & Development,3,3,Female,4,Healthcare Representative,2,Single,13734,No,18,3,0,21,7,1,No
52,Travel_Rarely,Research & Development,1,4,Male,5,Manager,3,Married,19999,No,14,3,1,34,33,11,No
27,Travel_Rarely,Research & Development,9,3,Female,1,Research Scientist,2,Single,2279,No,16,3,0,7,7,0,No
35,Travel_Rarely,Research & Development,23,2,Male,2,Manufacturing Director,3,Married,5916,Yes,13,3,0,8,1,0,Yes
43,Non-Travel,Research & Development,7,3,Male,1,Research Scientist,4,Divorced,2089,No,14,3,3,7,5,2,No
45,Non-Travel,Research & Development,2,2,Male,4,Manager,4,Married,16792,No,23,4,1,22,20,11,No
37,Travel_Rarely,Research & Development,21,3,Male,1,Research Scientist,1,Married,3564,Yes,12,3,1,8,8,1,No
35,Travel_Frequently,Research & Development,2,3,Female,2,Laboratory Technician,2,Single,4425,No,11,3,0,10,6,1,No
42,Non-Travel,Research & Development,21,2,Female,2,Manufacturing Director,3,Divorced,5265,No,16,3,1,11,5,0,No
38,Travel_Rarely,Research & Development,2,4,Male,2,Manufacturing Director,3,Married,6553,No,14,3,0,14,1,0,No
38,Travel_Rarely,Research & Development,29,3,Male,2,Manufacturing Director,4,Married,6261,No,18,3,1,9,7,1,No
27,Travel_Frequently,Research & Development,1,1,Male,2,Manufacturing Director,1,Married,4298,No,19,3,1,6,2,2,No
49,Non-Travel,Research & Development,18,4,Male,2,Manufacturing Director,4,Divorced,6804,Yes,15,3,2,7,7,1,No
34,Travel_Frequently,Research & Development,10,4,Male,1,Research Scientist,3,Divorced,3815,Yes,17,3,1,5,5,2,No
40,Travel_Rarely,Research & Development,19,2,Male,2,Laboratory Technician,4,Married,2741,Yes,15,3,1,15,7,3,No
38,Travel_Rarely,Research & Development,29,1,Male,2,Healthcare Representative,1,Married,6673,Yes,19,3,0,17,1,0,Yes
29,Travel_Rarely,Sales,27,3,Female,3,Sales Executive,4,Married,7639,No,22,4,3,10,10,1,Yes
22,Travel_Rarely,Research & Development,5,3,Male,1,Research Scientist,2,Divorced,2328,Yes,16,3,1,4,4,2,No
36,Travel_Frequently,Research & Development,18,1,Female,1,Laboratory Technician,4,Single,2153,No,13,3,0,8,8,1,No
40,Non-Travel,Research & Development,9,5,Male,2,Healthcare Representative,4,Married,4876,No,14,3,1,5,3,0,No
46,Travel_Rarely,Research & Development,1,4,Male,3,Healthcare Representative,1,Divorced,9396,No,16,3,1,17,4,0,No
32,Travel_Rarely,Sales,4,4,Male,3,Sales Executive,4,Married,10400,No,11,3,0,14,14,9,Yes
30,Non-Travel,Research & Development,1,1,Male,3,Manufacturing Director,3,Single,8474,No,22,4,0,12,11,5,No
27,Travel_Frequently,Sales,20,3,Female,2,Sales Executive,3,Single,9981,No,14,3,0,7,7,0,No
51,Travel_Rarely,Research & Development,8,4,Male,3,Research Director,2,Married,12490,No,16,3,2,16,10,4,No
30,Travel_Rarely,Research & Development,3,3,Female,1,Research Scientist,1,Single,2657,Yes,11,3,0,8,5,0,Yes
41,Travel_Rarely,Sales,6,3,Female,3,Manager,4,Single,13591,Yes,18,3,0,16,1,0,No
30,Travel_Frequently,Sales,26,4,Female,2,Sales Executive,1,Single,6696,No,15,3,0,9,6,0,Yes
29,Travel_Rarely,Research & Development,1,3,Male,1,Research Scientist,3,Single,2058,No,14,3,0,7,6,1,Yes
45,Non-Travel,Sales,6,3,Female,3,Sales Executive,4,Single,8865,No,12,3,0,23,19,12,No
54,Travel_Rarely,Sales,3,3,Female,2,Sales Executive,1,Married,5940,No,14,3,1,16,6,0,No
36,Travel_Rarely,Research & Development,5,2,Male,2,Laboratory Technician,2,Single,5914,No,16,3,0,16,13,3,No
33,Travel_Rarely,Research & Development,4,4,Female,1,Research Scientist,2,Married,2622,No,21,4,0,7,3,1,No
37,Travel_Frequently,Research & Development,11,3,Male,3,Research Director,4,Divorced,12185,Yes,14,3,3,10,10,0,No
38,Travel_Rarely,Sales,3,3,Male,3,Sales Executive,3,Divorced,10609,No,12,3,2,17,16,5,No
31,Non-Travel,Research & Development,1,4,Male,2,Manufacturing Director,3,Married,4345,No,12,3,1,6,5,1,No
59,Travel_Rarely,Research & Development,3,3,Male,1,Research Scientist,4,Married,2177,No,17,3,1,7,1,0,No
37,Travel_Frequently,Sales,4,4,Male,1,Sales Representative,4,Divorced,2793,No,17,3,1,13,9,5,No
29,Travel_Frequently,Sales,1,1,Female,3,Sales Executive,4,Married,7918,No,14,3,1,11,11,4,No
35,Travel_Frequently,Sales,1,3,Female,3,Sales Executive,3,Single,8789,No,14,3,0,10,10,0,No
29,Travel_Rarely,Research & Development,18,1,Male,1,Research Scientist,4,Single,2389,Yes,13,3,0,4,4,0,Yes
52,Travel_Rarely,Research & Development,2,3,Female,1,Laboratory Technician,4,Single,3212,No,15,3,0,6,2,2,No
42,Travel_Rarely,Research & Development,4,2,Male,5,Manager,4,Married,19232,No,11,3,0,22,22,11,No
59,Travel_Rarely,Human Resources,6,2,Male,1,Human Resources,3,Married,2267,No,17,3,0,7,2,2,No
50,Travel_Rarely,Sales,1,4,Female,5,Manager,4,Divorced,19517,No,11,3,1,32,7,0,No
33,Travel_Rarely,Research & Development,14,3,Male,1,Laboratory Technician,4,Married,2436,Yes,13,3,1,8,5,0,Yes
43,Travel_Rarely,Sales,16,3,Female,4,Manager,4,Married,16064,Yes,22,4,1,22,17,1,No
